patch_id,patch_id_s1,timestamp_s2,timestamp_s1,season_s2,season_s1,lon,lat,climatezone
S2A_MSIL2A_20171101T094131_25_37,S1B_IW_GRDH_1SDV_20171101T154016_35VNK_25_37,2017-11-01 09:41:31,2017-11-01 15:40:16,0.42359,0.42359,27.59809,62.72435,27
S2A_MSIL2A_20171121T112351_9_0,S1B_IW_GRDH_1SDV_20171121T064205_29SND_9_0,2017-11-21 11:23:51,2017-11-21 06:42:05,0.25986,0.25986,-8.86718,39.74479,9
S2A_MSIL2A_20180526T100031_85_22,S1A_IW_GRDH_1SDV_20180526T045642_34WFU_85_22,2018-05-26 10:00:31,2018-05-26 04:56:42,0.97444,0.97444,25.54017,66.41061,27
S2B_MSIL2A_20171112T114339_72_27,S1B_IW_GRDH_1SDV_20171112T181343_29UPU_72_27,2017-11-12 11:43:39,2017-11-12 18:13:43,0.33482,0.33482,-6.21836,52.92041,15
S2A_MSIL2A_20180527T093041_30_19,S1A_IW_GRDH_1SDV_20180525T153234_35VPK_30_19,2018-05-27 09:30:41,2018-05-25 15:32:34,0.97631,0.97251,29.68763,62.89389,27
S2B_MSIL2A_20180204T094159_16_58,S1A_IW_GRDH_1SDV_20180204T043318_35VNH_16_58,2018-02-04 09:41:59,2018-02-04 04:33:18,0.36662,0.36662,27.36235,60.70371,27
S2A_MSIL2A_20170704T112111_66_47,S1B_IW_GRDH_1SDV_20170701T182622_29SND_66_47,2017-07-04 11:21:11,2017-07-01 18:26:22,0.99382,0.99631,-8.07563,39.233,8
S2A_MSIL2A_20171208T093351_88_16,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_88_16,2017-12-08 09:33:51,2017-12-07 16:24:50,0.11651,0.12489,22.30623,43.16711,26
S2B_MSIL2A_20180509T092029_20_79,S1A_IW_GRDH_1SDV_20180511T043832_34TFN_20_79,2018-05-09 09:20:29,2018-05-11 04:38:32,0.93228,0.93826,22.51603,42.48373,26
S2A_MSIL2A_20171201T112431_19_12,S1B_IW_GRDH_1SDV_20171203T064230_29SNB_19_12,2017-12-01 11:24:31,2017-12-03 06:42:30,0.17498,0.15833,-8.73438,37.81209,8
S2A_MSIL2A_20171121T112351_29_80,S1B_IW_GRDH_1SDV_20171121T064205_29SND_29_80,2017-11-21 11:23:51,2017-11-21 06:42:05,0.25986,0.25986,-8.59211,38.87911,8
S2A_MSIL2A_20171208T093351_82_25,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_82_25,2017-12-08 09:33:51,2017-12-07 16:24:50,0.11651,0.12489,22.21575,43.07085,26
S2A_MSIL2A_20180228T101021_84_89,S1A_IW_GRDH_1SDV_20180228T154921_34WFS_84_89,2018-02-28 10:10:21,2018-02-28 15:49:21,0.55805,0.55805,25.1054,63.9022,27
S2B_MSIL2A_20170924T93020_18_15,S1A_IW_GRDH_1SDV_20170922T152425_36VVQ_18_15,2017-09-24 09:30:20,2017-09-22 15:24:25,0.68913,0.70168,31.46555,62.95425,27
S2A_MSIL2A_20170803T094031_30_11,S1A_IW_GRDH_1SDV_20170802T163350_34TCR_30_11,2017-08-03 09:40:31,2017-08-02 16:33:50,0.93427,0.93724,18.89317,45.90994,26
S2B_MSIL2A_20180417T102019_42_80,S1A_IW_GRDH_1SDV_20180417T155012_34WFV_42_80,2018-04-17 10:20:19,2018-04-17 15:50:12,0.84748,0.84748,24.42404,66.71181,27
S2B_MSIL2A_20180515T112110_61_11,S1B_IW_GRDH_1SDV_20180515T063356_29SND_61_11,2018-05-15 11:21:10,2018-05-15 06:33:56,0.94941,0.94941,-8.14038,39.62275,8
S2A_MSIL2A_20170905T095031_29_17,S1B_IW_GRDH_1SDV_20170907T043202_35VNL_29_17,2017-09-05 09:50:31,2017-09-07 04:32:02,0.79928,0.78867,27.71916,63.83691,27
S2A_MSIL2A_20180506T100031_16_28,S1A_IW_GRDH_1SDV_20180507T050948_33UWP_16_28,2018-05-06 10:00:31,2018-05-07 05:09:48,0.92282,0.92604,15.26747,48.44503,26
S2A_MSIL2A_20170905T095031_68_32,S1A_IW_GRDH_1SDV_20170903T153258_35VNL_68_32,2017-09-05 09:50:31,2017-09-03 15:32:58,0.79928,0.80965,28.6606,63.66758,27
S2B_MSIL2A_20171112T114339_60_89,S1B_IW_GRDH_1SDV_20171112T181343_29UPU_60_89,2017-11-12 11:43:39,2017-11-12 18:13:43,0.33482,0.33482,-6.4711,52.25704,15
S2B_MSIL2A_20170914T093029_33_24,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_33_24,2017-09-14 09:30:29,2017-09-14 16:25:16,0.74967,0.74967,21.50881,44.88805,25
S2B_MSIL2A_20180204T094159_55_47,S1A_IW_GRDH_1SDV_20180204T043318_35VNH_55_47,2018-02-04 09:41:59,2018-02-04 04:33:18,0.36662,0.36662,28.22403,60.81713,27
S2A_MSIL2A_20170613T101032_86_31,S1B_IW_GRDH_1SDV_20170613T044822_34VER_86_31,2017-06-13 10:10:32,2017-06-13 04:48:22,0.99749,0.99749,23.09755,63.67265,27
S2A_MSIL2A_20180318T093031_65_64,S1B_IW_GRDH_1SDV_20180318T043418_35UMB_65_64,2018-03-18 09:30:31,2018-03-18 04:34:18,0.68389,0.68389,26.66274,55.24979,26
S2A_MSIL2A_20170803T094031_39_45,S1A_IW_GRDH_1SDV_20170802T163350_34TCR_39_45,2017-08-03 09:40:31,2017-08-02 16:33:50,0.93427,0.93724,19.04519,45.54541,25
